CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME FORMATTED
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
2.87933E-1,8.59619E-1
3.18817E-1,8.52142E-1
3.46038E-1,8.42132E-1
3.66821E-1,8.41217E-1
3.92486E-1,8.34930E-1
4.16870E-1,8.16284E-1
4.39697E-1,7.98431E-1
4.61822E-1,7.83874E-1
4.78851E-1,7.70690E-1
5.00854E-1,7.54974E-1
5.24810E-1,7.29400E-1
5.45562E-1,7.08221E-1
5.68084E-1,6.91497E-1
5.87921E-1,6.73706E-1
6.10412E-1,6.57287E-1
6.33239E-1,6.36444E-1
6.52252E-1,6.14715E-1
6.72790E-1,5.92926E-1
6.90918E-1,5.70343E-1
7.07580E-1,5.50964E-1
7.24487E-1,5.29602E-1
7.34375E-1,5.08606E-1
7.41149E-1,4.93408E-1
7.47894E-1,4.83734E-1
7.51525E-1,4.76470E-1
END
BEGIN
-4.36796E1,0E0
-4.33105E1,0E0
-4.25410E1,0E0
-4.16660E1,0E0
-4.07617E1,0E0
-3.93027E1,0E0
-3.80820E1,0E0
-3.70390E1,0E0
-3.60605E1,0E0
-3.54609E1,0E0
-3.48710E1,0E0
-3.42480E1,0E0
-3.38398E1,0E0
-3.32480E1,0E0
-3.26816E1,0E0
-3.22031E1,0E0
-3.15292E1,0E0
-3.10380E1,0E0
-3.06738E1,0E0
-3.025E1,0E0
-2.99082E1,0E0
-2.95244E1,0E0
-2.92207E1,0E0
-2.91503E1,0E0
-2.89111E1,0E0
-2.86406E1,0E0
-2.83125E1,0E0
-2.80566E1,0E0
-2.79130E1,0E0
-2.77216E1,0E0
-2.74013E1,0E0
-2.70996E1,0E0
-2.67929E1,0E0
-2.66816E1,0E0
-2.65761E1,0E0
-2.62714E1,0E0
-2.60869E1,0E0
-2.59736E1,0E0
-2.58945E1,0E0
-2.57558E1,0E0
-2.54667E1,0E0
-2.52197E1,0E0
-2.50605E1,0E0
-2.48183E1,0E0
-2.45986E1,0E0
-2.43584E1,0E0
-2.41718E1,0E0
-2.41005E1,0E0
-2.38896E1,0E0
-2.36865E1,0E0
-2.35507E1,0E0
-2.34501E1,0E0
-2.33408E1,0E0
-2.31279E1,0E0
-2.29013E1,0E0
-2.28173E1,0E0
-2.26709E1,0E0
-2.24355E1,0E0
-2.21621E1,0E0
-2.19414E1,0E0
-2.19043E1,0E0
-2.18242E1,0E0
-2.15986E1,0E0
-2.13740E1,0E0
-2.12265E1,0E0
-2.12158E1,0E0
-2.12060E1,0E0
-2.09462E1,0E0
-2.06406E1,0E0
-2.04716E1,0E0
-2.03925E1,0E0
-2.02949E1,0E0
-2.00419E1,0E0
-1.98320E1,0E0
-1.97187E1,0E0
-1.96455E1,0E0
-1.96806E1,0E0
-1.96796E1,0E0
-1.95800E1,0E0
-1.95312E1,0E0
-1.94306E1,0E0
-1.94560E1,0E0
-1.94199E1,0E0
-1.92001E1,0E0
-1.90263E1,0E0
-1.88974E1,0E0
-1.87646E1,0E0
-1.86894E1,0E0
-1.84921E1,0E0
