CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME DATA
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
3.19335E-1,8.65234E-1
3.50769E-1,8.55773E-1
3.74145E-1,8.45336E-1
4.29321E-1,8.25927E-1
4.21936E-1,8.11523E-1
4.18884E-1,8.63769E-1
4.70336E-1,8.13476E-1
4.89990E-1,7.34619E-1
5.10620E-1,7.31384E-1
5.29418E-1,7.43774E-1
5.48706E-1,7.33764E-1
5.76171E-1,7.01293E-1
5.86792E-1,6.84936E-1
6.15783E-1,6.65405E-1
6.47705E-1,6.17797E-1
6.49536E-1,6.06994E-1
6.87011E-1,6.29089E-1
7.08801E-1,5.88073E-1
7.09228E-1,5.49682E-1
7.30773E-1,5.32348E-1
7.42919E-1,5.07690E-1
7.64282E-1,4.82421E-1
7.68127E-1,4.57702E-1
7.56347E-1,4.81933E-1
END
BEGIN
-1.49011E-3,6.61468E-3
-1.57356E-5,5.17773E-3
1.53684E-3,6.10733E-3
1.54209E-3,7.32708E-3
1.23643E-3,9.03463E-3
3.68690E-3,1.20658E-2
5.19084E-3,1.27019E-2
5.18798E-3,1.30615E-2
0.54950E-2,1.58557E-2
7.79628E-3,1.49288E-2
7.60746E-3,1.55992E-2
1.0252E-2,1.72557E-2
1.08127E-2,1.73530E-2
1.22871E-2,1.83219E-2
1.46732E-2,1.79901E-2
1.50470E-2,1.78184E-2
1.91249E-2,1.92775E-2
2.02922E-2,1.83792E-2
2.17723E-2,1.99298E-2
2.55699E-2,2.41680E-2
2.68211E-2,1.88446E-2
2.47306E-2,1.89094E-2
2.69584E-2,1.87339E-2
3.13758E-2,1.71852E-2
3.34835E-2,1.64127E-2
3.41014E-2,1.61056E-2
3.37982E-2,1.55887E-2
3.75003E-2,1.32350E-2
3.73477E-2,1.01337E-2
4.12883E-2,1.11141E-2
4.32434E-2,0.80566E-2
4.11949E-2,0.74424E-2
4.29325E-2,0.96683E-2
4.74758E-2,0.81672E-2
5.06439E-2,0.29583E-2
4.94957E-2,-2.20298E-3
4.67109E-2,0.19340E-2
4.76760E-2,0.47187E-2
5.34668E-2,-1.49154E-3
5.08899E-2,-4.26101E-3
5.25093E-2,-5.40733E-3
5.29041E-2,-1.10702E-2
5.41000E-2,-1.20277E-2
5.76076E-2,-1.27964E-2
5.64765E-2,-1.50699E-2
5.82065E-2,-1.76677E-2
5.71994E-2,-2.40516E-2
5.92918E-2,-2.13699E-2
6.27632E-2,-1.91955E-2
5.92060E-2,-2.53524E-2
5.65395E-2,-2.66113E-2
6.16798E-2,-3.15589E-2
6.07318E-2,-3.79524E-2
5.70297E-2,-3.92475E-2
5.59978E-2,-3.92379E-2
5.92880E-2,-4.02946E-2
6.18591E-2,-4.49066E-2
5.46665E-2,-5.13973E-2
5.41000E-2,-5.06725E-2
5.96504E-2,-5.41400E-2
5.97877E-2,-5.85899E-2
5.85250E-2,-6.19487E-2
5.20210E-2,-6.80122E-2
4.60052E-2,-6.39801E-2
5.12924E-2,-6.13880E-2
5.78384E-2,-6.75735E-2
5.66024E-2,-7.81364E-2
3.83071E-2,-8.61358E-2
3.33213E-2,-7.92808E-2
4.16755E-2,-7.55958E-2
4.15954E-2,-8.77418E-2
3.37867E-2,-9.65919E-2
3.08418E-2,-9.71565E-2
2.78587E-2,-9.90257E-2
2.56347E-2,-9.87014E-2
1.92680E-2,-1.03706E-1
1.14784E-2,-1.01558E-1
1.46064E-2,-1.05339E-1
1.21231E-2,-1.07894E-1
